S.no,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
39,Olive oil,1T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
40,Safflower seed oil,1 T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
41,French dressing,1 T.,15,60,t,6,2,0,2,"Fats, Oils, Shortenings"
42,Thousand Island sauce,1 T.,15,75,t,8,3,0,1,"Fats, Oils, Shortenings"
43,Salt pork,2 oz.,60,470,3,55,,0,0,"Meat, Poultry"
44,Bacon,2 slices,16,95,4,8,7,0,1,"Meat, Poultry"
45,Beef,3 oz.,85,245,23,16,15,0,0,"Meat, Poultry"
46,Hamburger,3 oz.,85,245,21,17,15,0,0,"Meat, Poultry"
47,Ground lean,3 oz.,85,185,24,10,9,0,0,"Meat, Poultry"
48,Roast beef,3 oz.,85,390,16,36,35,0,0,"Meat, Poultry"
49,Steak,3 oz.,85,330,20,27,25,0,0,"Meat, Poultry"
50,"Steak, lean, as round",3 oz.,85,220,24,12,11,0,0,"Meat, Poultry"
51,Corned beef,3 oz.,85,185,22,10,9,0,0,"Meat, Poultry"
52,Corned beef hash canned,3 oz.,85,120,12,8,7,t,6,"Meat, Poultry"
53,Corned beef hash Dried,2 oz.,56,115,19,4,4,0,0,"Meat, Poultry"
54,Pot-pie,1 pie,227,480,18,28,25,t,32,"Meat, Poultry"
55,Corned beef hash Stew,1 cup,235,185,15,10,9,t,15,"Meat, Poultry"
56,chicken,3 oz.,85,185,23,9,7,0,0,"Meat, Poultry"
57,"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,11,0,0,"Meat, Poultry"
58,Roasted chicken,3 1/2 oz.,100,290,25,20,16,0,0,"Meat, Poultry"
59,"Chicken livers, fried",3 med.,100,140,22,14,12,0,2.3,"Meat, Poultry"
60,"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0,0,"Meat, Poultry"
61,"Lamb, chop, broiled",4 oz.,115,480,24,35,33,0,0,"Meat, Poultry"
62,Leg roasted,3 oz.,86,314,20,14,14,0,0,"Meat, Poultry"
63,"Shoulder, braised",3 oz.,85,285,18,23,21,0,0,"Meat, Poultry"
64,"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,18,0,0,"Meat, Poultry"
